Article 1,Article 2,Language
"Leaders from France, Denmark, Serbia, Norway, and Indonesia have congratulated Indian Prime Minister Narendra Modi on his third consecutive term following the BJP-led National Democratic Alliance's (NDA) majority win in the 2024 Lok Sabha elections. French President Emmanuel Macron, Norwegian PM Jonas Gahr Store, Serbian President Aleksandar Vucic, Danish PM Mette Frederiksen, and Indonesian President Joko Widodo all extended their best wishes and expressed hopes for continued and strengthened bilateral relations. The BJP secured 240 seats, a decrease from 303 in 2019, while the main opposition Congress saw significant growth, winning 99 seats compared to 52 in the previous election.","In a bid to form a government after falling 32 seats short of the majority mark in the 2024 elections, caretaker Prime Minister Narendra Modi convened a meeting with leaders of the National Democratic Alliance (NDA) at his residence in New Delhi on June 5, 2024. Key attendees included BJP President J P Nadda, caretaker Home Minister Amit Shah, caretaker Defence Minister Rajnath Singh, and leaders from allied parties such as Telugu Desam Party's Nara Chandrababu Naidu, Janata Dal-United's Nitish Kumar, and Shiv Sena's Eknath Shinde, among others. The presence of Naidu and Kumar is particularly crucial for BJP's coalition efforts. Modi is set to be sworn in for a third term on June 8, 2024.",eng,eng
"Leaders from France, Denmark, Serbia, Norway, and Indonesia have congratulated Indian Prime Minister Narendra Modi on his third consecutive term following the BJP-led National Democratic Alliance's (NDA) majority win in the 2024 Lok Sabha elections. French President Emmanuel Macron, Norwegian PM Jonas Gahr Store, Serbian President Aleksandar Vucic, Danish PM Mette Frederiksen, and Indonesian President Joko Widodo all extended their best wishes and expressed hopes for continued and strengthened bilateral relations. The BJP secured 240 seats, a decrease from 303 in 2019, while the main opposition Congress saw significant growth, winning 99 seats compared to 52 in the previous election.","In the 2024 Lok Sabha elections, the INDIA bloc, comprising Congress and the Samajwadi Party, secured 234 seats, with Congress winning 99 seats and the Samajwadi Party regaining its stronghold in Uttar Pradesh. Despite this, the bloc decided to sit in opposition and not attempt to form the government, as discussed in a meeting at Congress president Mallikarjun Kharge's residence. The bloc issued a statement expressing gratitude to the voters and criticizing the BJP and Prime Minister Narendra Modi for their politics. The BJP secured 240 seats, and with its allies TDP and JD(U), the NDA's total reached 292 seats. Key figures in the INDIA bloc, including Kharge, ER Eswaran of KMDK, and Dipankar Bhattacharya of CPI(ML) Liberation, emphasized the moral defeat of the BJP and their commitment to opposing its rule.",eng,eng
"Leaders from France, Denmark, Serbia, Norway, and Indonesia have congratulated Indian Prime Minister Narendra Modi on his third consecutive term following the BJP-led National Democratic Alliance's (NDA) majority win in the 2024 Lok Sabha elections. French President Emmanuel Macron, Norwegian PM Jonas Gahr Store, Serbian President Aleksandar Vucic, Danish PM Mette Frederiksen, and Indonesian President Joko Widodo all extended their best wishes and expressed hopes for continued and strengthened bilateral relations. The BJP secured 240 seats, a decrease from 303 in 2019, while the main opposition Congress saw significant growth, winning 99 seats compared to 52 in the previous election.","The results of the 2024 Lok Sabha elections have been announced, with the NDA securing a full majority. Following the announcement, several foreign leaders have congratulated Prime Minister Narendra Modi and expressed a desire to strengthen relations with India. Key congratulatory messages include:

1. **Mauritius Prime Minister Pravind Kumar Jugnauth**: He congratulated PM Modi on his historic third term and expressed hope for continued progress and strong Mauritius-India relations. PM Modi thanked him and emphasized the importance of their partnership.

2. **Shering Tobgay**: He congratulated PM Modi and the NDA on their historic win and expressed eagerness to work together to strengthen India-Bhutan relations. PM Modi responded with gratitude and optimism for ongoing strong ties.

The election results show the NDA winning 292 out of 542 seats, while the I.N.D.I.A alliance secured 233 seats. Although the BJP did not achieve the majority on its own, the NDA's overall majority allows them to form the government. This marks a significant political outcome, with the BJP previously winning 278 seats in 2014 and 303 seats in 2019.",eng,hin
"Leaders from France, Denmark, Serbia, Norway, and Indonesia have congratulated Indian Prime Minister Narendra Modi on his third consecutive term following the BJP-led National Democratic Alliance's (NDA) majority win in the 2024 Lok Sabha elections. French President Emmanuel Macron, Norwegian PM Jonas Gahr Store, Serbian President Aleksandar Vucic, Danish PM Mette Frederiksen, and Indonesian President Joko Widodo all extended their best wishes and expressed hopes for continued and strengthened bilateral relations. The BJP secured 240 seats, a decrease from 303 in 2019, while the main opposition Congress saw significant growth, winning 99 seats compared to 52 in the previous election.","**Summary:**

In the ongoing vote counting for the 2024 Lok Sabha elections, neither the NDA nor the INDIA alliance appears to be securing a majority. In response, the Congress-led INDIA alliance has initiated efforts to prevent the BJP from coming to power. Key figures involved in these efforts include Sharad Pawar, who has reached out to Bihar's Chief Minister and JDU leader Nitish Kumar, and Stalin, who is in contact with Chandrababu Naidu. The situation indicates a strategic maneuvering to form alliances and gain the necessary support.",eng,hin
"The Pakistan High Commission has issued 962 visas to Sikh pilgrims from India for the annual festival commemorating the martyrdom day of Guru Arjan Dev, to be held in Pakistan from June 8-17, 2024. Pilgrims will visit significant sites including Gurdwara Panja Sahib, Gurdwara Nankana Sahib, and Gurdwara Kartarpur Sahib. Charge d'Affaires Saad Ahmad Warraich extended his congratulations and best wishes to the pilgrims. This visa issuance aligns with Pakistan's commitment to the 1974 Bilateral Protocol on Visits to Religious Shrines. In 2023, 215 visas were issued for the same event.","India's Ambassador to the Maldives, Munu Mahavar, joined Maldivian President Mohamed Muizzu in launching the '5 Million Trees Plantation Programme' on World Environment Day. The initiative aims to plant five million trees over five years to combat climate change and promote a greener environment. The launch event, held at Lonuziyaaraiy Park in Male, included the planting of 22 types of trees, some of which are at risk of extinction. This program was initially announced by President Muizzu at the COP28 conference. The event followed President Muizzu's congratulatory message to Indian Prime Minister Narendra Modi on his election victory, signaling a potential improvement in bilateral relations despite previous tensions. Prime Minister Modi reciprocated by emphasizing the importance of the Maldives as a partner in the Indian Ocean region and expressed a desire for closer cooperation.",eng,eng
"US President Biden congratulated Indian Prime Minister Narendra Modi and the National Democratic Alliance (NDA) on their victory in the 2024 Lok Sabha elections. The Bharatiya Janata Party (BJP), led by Modi, won 240 seats, while the Congress secured 99 seats. Modi has secured a third term as Prime Minister but will need coalition support, particularly from JD(U) chief Nitish Kumar and TDP chief Chandrababu Naidu.

Global leaders, including those from Maldives, Nepal, Israel, Russia, France, Ukraine, Italy, and Jamaica, extended their congratulations. Sri Lankan President Ranil Wickremesinghe, opposition leader Sajith Premadasa, and former Prime Minister Mahinda Rajapaksa also sent their best wishes, emphasizing the strengthening of bilateral ties.

Taiwanese President Lai Ching-te expressed hopes for expanding trade and technology collaboration between India and Taiwan. Ukrainian President Volodymyr Zelenskyy and Malaysian Prime Minister Anwar Ibrahim also congratulated Modi, with Ibrahim highlighting the democratic process and economic progress under Modi's leadership.","Laxman Bag of the BJP gained significant attention in Odisha by defeating the five-time Chief Minister Naveen Patnaik in the Kantabanji assembly seat in Bolangir district. Bag won by a margin of 16,344 votes, marking Patnaik's first electoral defeat since he began his political career in 1998. Patnaik, however, secured a win in the Hinjili seat by 4,636 votes. Bag, a 48-year-old farmer with a matriculation education and 12 criminal cases against him, attributed his victory to the local people's preference and his focus on addressing employment issues. This victory is seen as a major upset and has significant political implications in the region.",eng,eng
"US President Biden congratulated Indian Prime Minister Narendra Modi and the National Democratic Alliance (NDA) on their victory in the 2024 Lok Sabha elections. The Bharatiya Janata Party (BJP), led by Modi, won 240 seats, while the Congress secured 99 seats. Modi has secured a third term as Prime Minister but will need coalition support, particularly from JD(U) chief Nitish Kumar and TDP chief Chandrababu Naidu.

Global leaders, including those from Maldives, Nepal, Israel, Russia, France, Ukraine, Italy, and Jamaica, extended their congratulations. Sri Lankan President Ranil Wickremesinghe, opposition leader Sajith Premadasa, and former Prime Minister Mahinda Rajapaksa also sent their best wishes, emphasizing the strengthening of bilateral ties.

Taiwanese President Lai Ching-te expressed hopes for expanding trade and technology collaboration between India and Taiwan. Ukrainian President Volodymyr Zelenskyy and Malaysian Prime Minister Anwar Ibrahim also congratulated Modi, with Ibrahim highlighting the democratic process and economic progress under Modi's leadership.","The Trinamool Congress (TMC) has scheduled a meeting for its newly elected MPs at Chief Minister Mamata Banerjee's residence in Kolkata on Saturday at 4 pm. This follows the recent Lok Sabha elections where TMC secured 29 out of 42 seats in West Bengal, while the Bharatiya Janata Party (BJP) won 12 seats, a decrease from their previous 18 seats in 2019. Mamata Banerjee has called for Prime Minister Narendra Modi's resignation, citing his failure to achieve the 400 seats he had promised. The BJP's campaign aimed to unseat Banerjee but was unsuccessful. The meeting is likely to discuss the election outcomes and future strategies.",eng,eng
"US President Joe Biden congratulated Indian Prime Minister Narendra Modi and the National Democratic Alliance (NDA) on their victory in the 2024 Lok Sabha elections, highlighting the growing friendship between the US and India. The Bharatiya Janata Party (BJP), led by Modi, won 240 seats, while the Congress secured 99 seats. Modi's third term will require coalition support, notably from JD(U) chief Nitish Kumar and TDP chief Chandrababu Naidu. Global leaders, including those from France, Sri Lanka, Taiwan, Ukraine, and Malaysia, extended their congratulations, emphasizing the potential for strengthened international partnerships and regional prosperity.","UK Prime Minister Rishi Sunak congratulated Indian Prime Minister Narendra Modi on his victory in the 2024 Lok Sabha elections, emphasizing the strong friendship between the UK and India. The BJP won 240 seats, falling short of the 272 majority mark, marking the first time since 2014 that the party did not secure a majority on its own. Global leaders, including US President Joe Biden, Sri Lankan President Ranil Wickremesinghe, Taiwanese President Lai Ching-te, Ukrainian President Volodymyr Zelenskyy, Malaysian Prime Minister Anwar Ibrahim, and Spanish Prime Minister Pedro Sanchez, extended their congratulations to Modi. The National Democratic Alliance (NDA) unanimously re-elected Modi as their leader, highlighting his vision for a developed India.",eng,eng
"US President Joe Biden congratulated Indian Prime Minister Narendra Modi and the National Democratic Alliance (NDA) on their victory in the 2024 Lok Sabha elections, highlighting the growing friendship between the US and India. The Bharatiya Janata Party (BJP), led by Modi, won 240 seats, while the Congress secured 99 seats. Modi's third term will require coalition support, notably from JD(U) chief Nitish Kumar and TDP chief Chandrababu Naidu. Global leaders, including those from France, Sri Lanka, Taiwan, Ukraine, and Malaysia, extended their congratulations, emphasizing the potential for strengthened international partnerships and regional prosperity.","US President Joe Biden congratulated Indian Prime Minister Narendra Modi and the National Democratic Alliance (NDA) on their victory in the Lok Sabha elections. In a post on X, Biden highlighted the growing friendship between the US and India, emphasizing the shared future and potential between the two nations. The congratulatory message also acknowledged the participation of nearly 650 million voters in the historic election.",eng,eng
"Prime Minister Narendra Modi has received congratulatory messages from several world leaders following his re-election for a third consecutive term in the Lok Sabha polls. Israeli PM Benjamin Netanyahu, Malaysian PM Anwar Ibrahim, Spanish PM Pedro Sanchez, Singaporean PM Lawrence Wong, Czech PM Petr Fiala, and former Nepalese PM Sher Bahadur Deuba all extended their best wishes to Modi. Each leader expressed a desire to strengthen bilateral relations and cooperation with India. Modi responded to each message with gratitude and a commitment to enhancing partnerships. Despite the BJP winning 240 seats, it fell short of the 272 majority mark, necessitating coalition support from parties like JD(U) and TDP. The Election Commission of India declared the results, with the BJP needing to rely on its coalition for governance.","Prime Minister Narendra Modi has expressed gratitude to several world leaders for congratulating him on his victory in the 2024 Lok Sabha elections. Leaders who extended their congratulations include Israel's PM Benjamin Netanyahu, Malaysia's PM Anwar Ibrahim, Spain's PM Pedro Sanchez, Singapore's PM Lawrence Wong, Czech Republic's PM Petr Fiala, and former Nepal PM Sher Bahadur Deuba. Each leader highlighted the importance of their respective countries' relationships with India and expressed a desire to strengthen bilateral ties. Despite the BJP winning 240 seats, it fell short of the 272 majority mark, necessitating coalition support from parties like JD(U) and TDP. This marks the first time since 2014 that the BJP did not secure a majority on its own.",eng,eng
"In a bid to form a government after falling 32 seats short of the majority mark in the 2024 elections, caretaker Prime Minister Narendra Modi convened a meeting with leaders of the National Democratic Alliance (NDA) at his residence in New Delhi on June 5, 2024. Key attendees included BJP President J P Nadda, caretaker Home Minister Amit Shah, caretaker Defence Minister Rajnath Singh, and leaders from allied parties such as Telugu Desam Party's Nara Chandrababu Naidu, Janata Dal-United's Nitish Kumar, and Shiv Sena's Eknath Shinde, among others. The presence of Naidu and Kumar is particularly crucial for BJP's coalition efforts. Modi is set to be sworn in for a third term on June 8, 2024.","Laxman Bag of the BJP gained significant attention in Odisha by defeating the five-time Chief Minister Naveen Patnaik in the Kantabanji assembly seat in Bolangir district. Bag won by a margin of 16,344 votes, marking Patnaik's first electoral defeat since he began his political career in 1998. Patnaik, however, secured a win in the Hinjili seat by 4,636 votes. Bag, a 48-year-old farmer with a matriculation education and 12 criminal cases against him, attributed his victory to the local people's preference and his focus on addressing employment issues. This victory is seen as a major upset and has significant political implications in the region.",eng,eng
"In a bid to form a government after falling 32 seats short of the majority mark in the 2024 elections, caretaker Prime Minister Narendra Modi convened a meeting with leaders of the National Democratic Alliance (NDA) at his residence in New Delhi on June 5, 2024. Key attendees included BJP President J P Nadda, caretaker Home Minister Amit Shah, caretaker Defence Minister Rajnath Singh, and leaders from allied parties such as Telugu Desam Party's Nara Chandrababu Naidu, Janata Dal-United's Nitish Kumar, and Shiv Sena's Eknath Shinde, among others. The presence of Naidu and Kumar is particularly crucial for BJP's coalition efforts. Modi is set to be sworn in for a third term on June 8, 2024.","The Trinamool Congress (TMC) has scheduled a meeting for its newly elected MPs at Chief Minister Mamata Banerjee's residence in Kolkata on Saturday at 4 pm. This follows the recent Lok Sabha elections where TMC secured 29 out of 42 seats in West Bengal, while the Bharatiya Janata Party (BJP) won 12 seats, a decrease from their previous 18 seats in 2019. Mamata Banerjee has called for Prime Minister Narendra Modi's resignation, citing his failure to achieve the 400 seats he had promised. The BJP's campaign aimed to unseat Banerjee but was unsuccessful. The meeting is likely to discuss the election outcomes and future strategies.",eng,eng
"In the 2024 Lok Sabha elections, the INDIA bloc, comprising Congress and the Samajwadi Party, secured 234 seats, with Congress winning 99 seats and the Samajwadi Party regaining its stronghold in Uttar Pradesh. Despite this, the bloc decided to sit in opposition and not attempt to form the government, as discussed in a meeting at Congress president Mallikarjun Kharge's residence. The bloc issued a statement expressing gratitude to the voters and criticizing the BJP and Prime Minister Narendra Modi for their politics. The BJP secured 240 seats, and with its allies TDP and JD(U), the NDA's total reached 292 seats. Key figures in the INDIA bloc, including Kharge, ER Eswaran of KMDK, and Dipankar Bhattacharya of CPI(ML) Liberation, emphasized the moral defeat of the BJP and their commitment to opposing its rule.","Laxman Bag of the BJP gained significant attention in Odisha by defeating the five-time Chief Minister Naveen Patnaik in the Kantabanji assembly seat in Bolangir district. Bag won by a margin of 16,344 votes, marking Patnaik's first electoral defeat since he began his political career in 1998. Patnaik, however, secured a win in the Hinjili seat by 4,636 votes. Bag, a 48-year-old farmer with a matriculation education and 12 criminal cases against him, attributed his victory to the local people's preference and his focus on addressing employment issues. This victory is seen as a major upset and has significant political implications in the region.",eng,eng
"In the 2024 Lok Sabha elections, the INDIA bloc, comprising Congress and the Samajwadi Party, secured 234 seats, with Congress winning 99 seats and the Samajwadi Party regaining its stronghold in Uttar Pradesh. Despite this, the bloc decided to sit in opposition and not attempt to form the government, as discussed in a meeting at Congress president Mallikarjun Kharge's residence. The bloc issued a statement expressing gratitude to the voters and criticizing the BJP and Prime Minister Narendra Modi for their politics. The BJP secured 240 seats, and with its allies TDP and JD(U), the NDA's total reached 292 seats. Key figures in the INDIA bloc, including Kharge, ER Eswaran of KMDK, and Dipankar Bhattacharya of CPI(ML) Liberation, emphasized the moral defeat of the BJP and their commitment to opposing its rule.","The Trinamool Congress (TMC) has scheduled a meeting for its newly elected MPs at Chief Minister Mamata Banerjee's residence in Kolkata on Saturday at 4 pm. This follows the recent Lok Sabha elections where TMC secured 29 out of 42 seats in West Bengal, while the Bharatiya Janata Party (BJP) won 12 seats, a decrease from their previous 18 seats in 2019. Mamata Banerjee has called for Prime Minister Narendra Modi's resignation, citing his failure to achieve the 400 seats he had promised. The BJP's campaign aimed to unseat Banerjee but was unsuccessful. The meeting is likely to discuss the election outcomes and future strategies.",eng,eng
"India's Ambassador to the Maldives, Munu Mahavar, joined Maldivian President Mohamed Muizzu in launching the '5 Million Trees Plantation Programme' on World Environment Day. The initiative aims to plant five million trees over five years to combat climate change and promote a greener environment. The launch event, held at Lonuziyaaraiy Park in Male, included the planting of 22 types of trees, some of which are at risk of extinction. This program was initially announced by President Muizzu at the COP28 conference. The event followed President Muizzu's congratulatory message to Indian Prime Minister Narendra Modi on his election victory, signaling a potential improvement in bilateral relations despite previous tensions. Prime Minister Modi reciprocated by emphasizing the importance of the Maldives as a partner in the Indian Ocean region and expressed a desire for closer cooperation.","On World Environment Day, June 5, Uttar Pradesh Chief Minister Yogi Adityanath planted a sandalwood sapling at his official residence in Lucknow, coinciding with his birthday. He emphasized the state's commitment to environmental protection in a message shared on social media. The event was attended by key officials including Additional Chief Secretaries S P Goyal and Manoj Kumar Singh, Principal Secretary Sanjay Prasad, and DGP Prashant Kumar.

Prime Minister Narendra Modi also launched the 'Ek Ped Maa Ke Naam' campaign, encouraging people to plant saplings as a tribute to their mothers. He planted a peepal tree sapling at Buddha Jayanti Park in Delhi, accompanied by Union Environment Minister Bhupender Yadav and Delhi's Lieutenant Governor Vinai Kumar Saxena. Modi urged participants to share their tree-planting photos using the hashtag #Plant4Mother.

World Environment Day, observed annually on June 5, commemorates the 1972 Stockholm Conference on the Human Environment. This year's theme focuses on ""Land Restoration, Desertification, and Drought Resilience.""",eng,eng
"Laxman Bag of the BJP gained significant attention in Odisha by defeating the five-time Chief Minister Naveen Patnaik in the Kantabanji assembly seat in Bolangir district. Bag won by a margin of 16,344 votes, marking Patnaik's first electoral defeat since he began his political career in 1998. Patnaik, however, secured a win in the Hinjili seat by 4,636 votes. Bag, a 48-year-old farmer with a matriculation education and 12 criminal cases against him, attributed his victory to the local people's preference and his focus on addressing employment issues. This victory is seen as a major upset and has significant political implications in the region.","The results of the 2024 Lok Sabha elections have been announced, with the NDA securing a full majority. Following the announcement, several foreign leaders have congratulated Prime Minister Narendra Modi and expressed a desire to strengthen relations with India. Key congratulatory messages include:

1. **Mauritius Prime Minister Pravind Kumar Jugnauth**: He congratulated PM Modi on his historic third term and expressed hope for continued progress and strong Mauritius-India relations. PM Modi thanked him and emphasized the importance of their partnership.

2. **Shering Tobgay**: He congratulated PM Modi and the NDA on their historic win and expressed eagerness to work together to strengthen India-Bhutan relations. PM Modi responded with gratitude and optimism for ongoing strong ties.

The election results show the NDA winning 292 out of 542 seats, while the I.N.D.I.A alliance secured 233 seats. Although the BJP did not achieve the majority on its own, the NDA's overall majority allows them to form the government. This marks a significant political outcome, with the BJP previously winning 278 seats in 2014 and 303 seats in 2019.",eng,hin
"Laxman Bag of the BJP gained significant attention in Odisha by defeating the five-time Chief Minister Naveen Patnaik in the Kantabanji assembly seat in Bolangir district. Bag won by a margin of 16,344 votes, marking Patnaik's first electoral defeat since he began his political career in 1998. Patnaik, however, secured a win in the Hinjili seat by 4,636 votes. Bag, a 48-year-old farmer with a matriculation education and 12 criminal cases against him, attributed his victory to the local people's preference and his focus on addressing employment issues. This victory is seen as a major upset and has significant political implications in the region.","**Summary:**

In the ongoing vote counting for the 2024 Lok Sabha elections, neither the NDA nor the INDIA alliance appears to be securing a majority. In response, the Congress-led INDIA alliance has initiated efforts to prevent the BJP from coming to power. Key figures involved in these efforts include Sharad Pawar, who has reached out to Bihar's Chief Minister and JDU leader Nitish Kumar, and Stalin, who is in contact with Chandrababu Naidu. The situation indicates a strategic maneuvering to form alliances and gain the necessary support.",eng,hin
"The Trinamool Congress (TMC) has scheduled a meeting for its newly elected MPs at Chief Minister Mamata Banerjee's residence in Kolkata on Saturday at 4 pm. This follows the recent Lok Sabha elections where TMC secured 29 out of 42 seats in West Bengal, while the Bharatiya Janata Party (BJP) won 12 seats, a decrease from their previous 18 seats in 2019. Mamata Banerjee has called for Prime Minister Narendra Modi's resignation, citing his failure to achieve the 400 seats he had promised. The BJP's campaign aimed to unseat Banerjee but was unsuccessful. The meeting is likely to discuss the election outcomes and future strategies.","The results of the 2024 Lok Sabha elections have been announced, with the NDA securing a full majority. Following the announcement, several foreign leaders have congratulated Prime Minister Narendra Modi and expressed a desire to strengthen relations with India. Key congratulatory messages include:

1. **Mauritius Prime Minister Pravind Kumar Jugnauth**: He congratulated PM Modi on his historic third term and expressed hope for continued progress and strong Mauritius-India relations. PM Modi thanked him and emphasized the importance of their partnership.

2. **Shering Tobgay**: He congratulated PM Modi and the NDA on their historic win and expressed eagerness to work together to strengthen India-Bhutan relations. PM Modi responded with gratitude and optimism for ongoing strong ties.

The election results show the NDA winning 292 out of 542 seats, while the I.N.D.I.A alliance secured 233 seats. Although the BJP did not achieve the majority on its own, the NDA's overall majority allows them to form the government. This marks a significant political outcome, with the BJP previously winning 278 seats in 2014 and 303 seats in 2019.",eng,hin
"The Trinamool Congress (TMC) has scheduled a meeting for its newly elected MPs at Chief Minister Mamata Banerjee's residence in Kolkata on Saturday at 4 pm. This follows the recent Lok Sabha elections where TMC secured 29 out of 42 seats in West Bengal, while the Bharatiya Janata Party (BJP) won 12 seats, a decrease from their previous 18 seats in 2019. Mamata Banerjee has called for Prime Minister Narendra Modi's resignation, citing his failure to achieve the 400 seats he had promised. The BJP's campaign aimed to unseat Banerjee but was unsuccessful. The meeting is likely to discuss the election outcomes and future strategies.","**Summary:**

In the ongoing vote counting for the 2024 Lok Sabha elections, neither the NDA nor the INDIA alliance appears to be securing a majority. In response, the Congress-led INDIA alliance has initiated efforts to prevent the BJP from coming to power. Key figures involved in these efforts include Sharad Pawar, who has reached out to Bihar's Chief Minister and JDU leader Nitish Kumar, and Stalin, who is in contact with Chandrababu Naidu. The situation indicates a strategic maneuvering to form alliances and gain the necessary support.",eng,hin
